Location,InstanceCount,Omit
U.S.,25813,1
United States,21239,1
United States of America,7094,1
US,729,1
United States Government,288,1
America,36,1
Lawrence Livermore Laboratory,34,1
Naval Surface Warfare Center,31,1
TACOM,30,1
U.S,25,1
USA,21,1
CECOM,20,1
U.S.A.,19,1
Naval Air Warfare Center,19,1
Naval Surface Warfare Center Crane,16,1
Rome Air Development Center,15,1
AFOSR,14,1
Unites States of America,13,1
U.S.D.A.,12,1
Williams-Pyro,11,1
Wright-Patterson Air Force Base,11,1
U.S.P.H.S.,10,1
USAMRMC,9,1
RR,9,1
United State of America,8,1
Rome Laboratories,7,1
SRI International of Menlo Park,7,1
Naval Ocean Systems Center,7,1
Space Center,6,1
Wright Patterson Air Force Base,6,1
U.S.A,6,1
Kirtland Air Force Base,6,1
Engineering Center,6,1
SPAWARSYSCEN SAN DIEGO,5,1
USPHS,5,1
Western Hydrogen,3,1
United Sates,3,1
Moffett Field,3,1
Naval Undersea Warfare Center,3,1
Research Parkway,3,1
Naval Air Engineering Center,2,1
Idaho National Engineering Laboratory,2,1
Navy-Naval Surface Warfare Center,2,1
New York Sea Grant,2,1
Picatinny Arsenal,2,1
Research Triangle Park,2,1
NINDS,2,1
Vanderbilt-Ingram Cancer Center,2,1
CIMIT,2,1
Patchel Street,2,1
Glen Research Center,2,1
NCDDG,2,1
United States Goverment,2,1
Rome Lab,2,1
STRATCOM,2,1
Eglin Air Force Base,2,1
N88858,2,1
TARDEC,2,1
Naval Warfare Center,2,1
United States Naval Weapons Center,2,1
Savannah River National Laboratory,2,1
United States NAVY,2,1
INBRE,2,1
USSOCOM,2,1
Unites States,2,1
Patterson Air Force Base,2,1
Lake Champlain Sea Grant,2,1
New,2,1
MRSEC,2,1
CERDEC,2,1
PRC,1,1
Washington Sea Grant,1,1
Brooks Air Force Base,1,1
Amnerica,1,1
U.S.P.S.,1,1
States of America,1,1
U.S. Naval Training Equipment Centre,1,1
Powermet,1,1
United States Patent Office,1,1
Gulf of Mexico,1,1
Meek,1,1
United States National Heart,1,1
United States Naval Surface Warfare Center,1,1
Rome Labs,1,1
Creech Air Force Base,1,1
USAMDC,1,1
Montgomery Ward,1,1
New England Deaconess Hospital,1,1
Kennedy Space Center,1,1
Natick Soldier Center,1,1
PMRRA,1,1
United States Department,1,1
PMRRC,1,1
Savannah River Laboratory,1,1
SPAWAR Systems Center San Diego,1,1
Mitegen,1,1
United States Goveernment,1,1
U.S.U.H.S.,1,1
NIH Research Grant Calif.,1,1
Pittsburgh NMR Center,1,1
Untied States of America,1,1
AGRICCREE,1,1
united States of America,1,1
Para,1,1
MBARI,1,1
United States of Amercia,1,1
M.S.,1,1
United States Patent,1,1
Leopoldina Fellowship Grant BMBF-LPD,1,1
Midwest GLRCE,1,1
Los Alamos National Laboratory,1,1
U.S.D.A,1,1
Ct,1,1
Maryland Sea Grant,1,1
Aberdeen Proving Ground,1,1
FA,1,1
Tinker Air Force Base,1,1
United States Navel Air Development Center,1,1
U.S. of America,1,1
united States,1,1
United States Govermnent,1,1
United States Of America,1,1
Grant Nos,1,1
CSREES,1,1
Vint Hill Farm Station,1,1
Beigel,1,1
Battelle-Northwest Laboratories,1,1
P.L.,1,1
United States Governnent,1,1
Vermont Space Grant,1,1
U.S.D.O.E.,1,1
Oregon Sea Grant,1,1
United States Space,1,1
Tacom,1,1
United States Airforce,1,1
Idaho National Laboratory,1,1
U.S. Naval Warfare Center,1,1
Marshall Space Flight Center,1,1
Indian Ocean sea,1,1
NSF Center,1,1
Indian Ocean,1,1
United State Government,1,1
W.C.,1,1
Naval Service Warfare Center,1,1
New Jersey Cornmission,1,1
TA,1,1
Uunited States of America,1,1
U.S Government,1,1
Linus Pauling Drive,1,1
NARSAD,1,1
North America,1,1
U.S.D.E.,1,1
Sepulveda,1,1
U.S. Navy Naval Surface Warfare Center,1,1
United States Naval Air Warfare Center,1,1
Berkeley Sensor,1,1
Earth,1,1
Nanophotonics,1,1
DAAK,1,1
Sea Grant,1,1
Naval Air Warfare Center Weapons Division China Lake,1,1
U.S. Naval Air Warfare Center AD,1,1
Rocky Flats Plant,1,1
NIBIB,1,1
Development Center,1,1
Naval Surface Weapons Center,1,1
Nickel-Iron Aluminide,1,1
U.S.C.,1,1
U.S.A.F.,1,1
Amdt,1,1
San Diego,628,
Calif.,461,
Pacific,270,
Bethesda,198,
Md,145,
Idaho,80,
Md.,75,
California,54,
Iowa,42,
Ohio,38,
Rome,30,
Washington,26,
Baltimore,25,
New York,23,
Calif,22,
Spain,19,
N.Y.,18,
Pittsburgh,16,
Fla,16,
Va,16,
Natick,16,
Texas,15,
Va.,14,
Pa,13,
D.C,13,
Pa.,13,
Maryland,13,
Arlington,12,
Florida,12,
Houston,12,
Fort Monmouth,11,
Mass,11,
Pennsylvania,10,
Huntsville,9,
New York State,9,
D.C.,9,
Mass.,9,
Orlando,9,
Ala.,8,
Santa Fe,8,
Fort Detrick,8,
Tex,8,
Albuquerque,8,
Kirtland,8,
Oatey,8,
Taiwan,7,
Gainesville,7,
New Mexico,7,
CA,7,
Fla.,7,
N.Y,7,
N.J.,7,
Virginia,7,
Neb.,6,
Ill,6,
Ala,6,
Canada,6,
Alabama,6,
Sayre,5,
N.J,5,
Warminster,5,
Tallahassee,5,
Ind.,5,
Republic of China,5,
Dakota,5,
New Jersey,5,
Kingdom of Saudi Arabia,5,
Guthrie Square,5,
Evanston,5,
OHIO,5,
Mont.,5,
Electronic Parkway,5,
N00014,5,
China,5,
Republic of Korea,5,
Madison,5,
Ind,4,
Mo.,4,
France,4,
Rome Laboratory,4,
Vermont,4,
North Carolina,4,
Birmingham,4,
Chicago,4,
Ga.,4,
Halles,4,
Ukraine,4,
Atlanta,4,
Fort Huachuca,4,
Hull Street,4,
Naval Air Development Center,4,
U.S. Naval Surface Warfare Center,4,
Cleveland,4,
S.C.,4,
Gaithersburg,4,
IDAHO,4,
Fort Eustis,3,
Berkeley,3,
Louisiana,3,
Tenn.,3,
Georgia,3,
Germany,3,
Durham,3,
FL,3,
N. Mex.,3,
China Lake,3,
Tex.,3,
Oklahoma,3,
New Zealand,3,
Michigan,3,
Fort Belvoir,3,
Delaware,3,
Rhode Island,3,
Korea,3,
Japan,3,
Stamford,3,
Australia,3,
SPAWARSYSCEN San Diego,3,
Pasadena,3,
Brazil,3,
Utah,3,
Science Foundation Ireland,3,
CALIFORNIA,3,
VA,3,
Ill.,3,
San Marcos,3,
San Francisco,3,
Miamisburg,2,
Caltech,2,
Great Britain,2,
Santa Cruz,2,
Illinois,2,
Charlottesville,2,
Conn,2,
Fredrick,2,
Nordyne,2,
Mich,2,
Geneva,2,
Ft. Huachuca,2,
N.C,2,
Tennessee,2,
Poland,2,
Minnesota,2,
Fountain Valley,2,
Southbridge,2,
Champaign,2,
Israel,2,
Morgantown,2,
Warren Mich.,2,
Ariz,2,
Southeastern Pennsylvania,2,
Patuxent River,2,
Mississippi-Alabama,2,
Colorado Springs,2,
Babcock,2,
Amazonia,2,
Amherst,2,
Watertown,2,
Bethesda Md,2,
Massachusetts,2,
Netherlands,2,
Newhope Street,2,
MD,2,
Maine,2,
Chandler St.,2,
Hawkeye,2,
Kansas City,2,
Nashville,2,
Dayton,2,
Eastern Indian Ocean,2,
Oxazogen,2,
Ariz.,2,
Sharon Borland,1,
Tempe,1,
Oklahoma Center,1,
Austin,1,
North Fairfax Drive,1,
Mich.,1,
MA,1,
Laguna Beach,1,
Italy,1,
Mountain View,1,
Kailua,1,
Los Alamos,1,
Crane Indiana,1,
Nevada,1,
Colo.,1,
Richland,1,
La.,1,
Bethseda,1,
Oakland,1,
State West Virginia,1,
Indianapolis,1,
Amreica,1,
Norfolk,1,
California Sea,1,
Lakeside Boulevard,1,
United State,1,
Shallow Ocean,1,
Crane,1,
West Eglin Blvd.,1,
Port Hueneme,1,
Prussia,1,
Ferroelectrics,1,
Leland Stanford,1,
Fairfax Drive,1,
Alberta Limited,1,
Hampton Roads,1,
Kentucky,1,
West Virginia,1,
New Orleans,1,
Tucson,1,
DACA,1,
Naval System Center,1,
S. Willson Ave.,1,
Grants Calif.,1,
Brooks Road,1,
Titusville,1,
IA,1,
Ireland,1,
Blacksburg,1,
Rockford,1,
Savage Road,1,
Tennessee Valley,1,
Anacostia,1,
Bar Harbor,1,
Aberdeen,1,
Woodbridge,1,
U. Colorado,1,
Wash,1,
Palo Alto,1,
Pax River,1,
Bonn,1,
Hungary,1,
Bacillus,1,
Mississippi,1,
Savannah River,1,
Upton,1,
Hercules,1,
California Sea Grant,1,
CA.,1,
San Jose,1,
Idaho Falls,1,
Washington D.C.,1,
Brighton Road,1,
Toledo,1,
Boulder,1,
Ames,1,
Moscow,1,
Ft. Detrick,1,
Darlington,1,
Los Angeles,1,
Iowa U.S.A,1,
Walfare,1,
Hong Kong SAR,1,
Iijima,1,
Knoxville,1,
Colorado,1,
Parlier,1,
East Bay Municipal Utility District,1,
Tampa,1,
W. Va,1,
Bragg,1,
Long Beach,1,
Memphis,1,
Hillsboro Road,1,
SAN DIEGO,1,
Detroit,1,
Ridgecrest,1,
Rockville,1,
State of Calif.,1,
Moore Street,1,
Holland,1,
Oklahoma City,1,
Nev.,1,
VA Salt Lake City,1,
Wyoming,1,
Charleston,1,
Batavia,1,
Fairfield,1,
Schmatz,1,
DAND,1,
Buffalo,1,
Warren Mich,1,
Wisconsin,1,
Shanghai,1,
DC,1,
Princeton,1,
United Stales,1,
Saudi Arabia,1,
Eindhoven,1,
Milwaukee,1,
Wooster,1,
Lancell,1,
Washington D.C,1,
Naval Medical Center San Diego,1,
Northern Ireland,1,
Texas Learning,1,
Albuquerque N.M,1,
Ia.,1,
Warrenton,1,
Livermore,1,
Salt Lake City,1,
West Lafayette,1,
Hampton,1,
Yardney,1,
LA,1,
Silver Spring,1,
Annapolis Way,1,
Chandler Street,1,
Las Vegas,1,
Battelle Research Triangle Park,1,
