Field_number,Sector_en,Sector_fr,Sector_es,Field_en,Field_fr,Field_es,IPC_code,Updated_on,Remark
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",F21H%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",F21K%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",F21L%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",F21S%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",F21V%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",F21W%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",F21Y%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H01B%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H01C%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H01F%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H01G%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H01H%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H01J%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H01K%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H01M%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H01R%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H01T%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H02B%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H02G%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H02H%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H02J%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H02K%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H02M%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H02N%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H02P%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H02S%,10-Jun-14,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H05B%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H05C%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H05F%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H99Z%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,G09F%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,G09G%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,G11B%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04N   3%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04N   5%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04N   7%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04N   9%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04N  11%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04N  13%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04N  15%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04N  17%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04N  19%,10-Jun-14,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04N 101%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04R%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04S%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H05K%,,
3,Electrical engineering,Electrotechnique,Electricidad - Electronica,Telecommunications,Telecommunications,Telecomunicaciones,G08C%,,
3,Electrical engineering,Electrotechnique,Electricidad - Electronica,Telecommunications,Telecommunications,Telecomunicaciones,H01P%,,
3,Electrical engineering,Electrotechnique,Electricidad - Electronica,Telecommunications,Telecommunications,Telecomunicaciones,H01Q%,,
3,Electrical engineering,Electrotechnique,Electricidad - Electronica,Telecommunications,Telecommunications,Telecomunicaciones,H04B%,,
3,Electrical engineering,Electrotechnique,Electricidad - Electronica,Telecommunications,Telecommunications,Telecomunicaciones,H04H%,,
3,Electrical engineering,Electrotechnique,Electricidad - Electronica,Telecommunications,Telecommunications,Telecomunicaciones,H04J%,,
3,Electrical engineering,Electrotechnique,Electricidad - Electronica,Telecommunications,Telecommunications,Telecomunicaciones,H04K%,,
3,Electrical engineering,Electrotechnique,Electricidad - Electronica,Telecommunications,Telecommunications,Telecomunicaciones,H04M%,,
3,Electrical engineering,Electrotechnique,Electricidad - Electronica,Telecommunications,Telecommunications,Telecomunicaciones,H04N   1%,,
3,Electrical engineering,Electrotechnique,Electricidad - Electronica,Telecommunications,Telecommunications,Telecomunicaciones,H04Q%,,
4,Electrical engineering,Electrotechnique,Electricidad - Electronica,Digital communication,Communication numerique,Comunicacion digital,H04L%,,
4,Electrical engineering,Electrotechnique,Electricidad - Electronica,Digital communication,Communication numerique,Comunicacion digital,H04N  21%,,
4,Electrical engineering,Electrotechnique,Electricidad - Electronica,Digital communication,Communication numerique,Comunicacion digital,H04W%,,
5,Electrical engineering,Electrotechnique,Electricidad - Electronica,Basic communication processes,Techniques de communication de base,Procesos basicos de comunicacion,H03B%,,
5,Electrical engineering,Electrotechnique,Electricidad - Electronica,Basic communication processes,Techniques de communication de base,Procesos basicos de comunicacion,H03C%,,
5,Electrical engineering,Electrotechnique,Electricidad - Electronica,Basic communication processes,Techniques de communication de base,Procesos basicos de comunicacion,H03D%,,
5,Electrical engineering,Electrotechnique,Electricidad - Electronica,Basic communication processes,Techniques de communication de base,Procesos basicos de comunicacion,H03F%,,
5,Electrical engineering,Electrotechnique,Electricidad - Electronica,Basic communication processes,Techniques de communication de base,Procesos basicos de comunicacion,H03G%,,
5,Electrical engineering,Electrotechnique,Electricidad - Electronica,Basic communication processes,Techniques de communication de base,Procesos basicos de comunicacion,H03H%,,
5,Electrical engineering,Electrotechnique,Electricidad - Electronica,Basic communication processes,Techniques de communication de base,Procesos basicos de comunicacion,H03J%,,
5,Electrical engineering,Electrotechnique,Electricidad - Electronica,Basic communication processes,Techniques de communication de base,Procesos basicos de comunicacion,H03K%,,
5,Electrical engineering,Electrotechnique,Electricidad - Electronica,Basic communication processes,Techniques de communication de base,Procesos basicos de comunicacion,H03L%,,
5,Electrical engineering,Electrotechnique,Electricidad - Electronica,Basic communication processes,Techniques de communication de base,Procesos basicos de comunicacion,H03M%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G06C%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G06D%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G06E%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G06F%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G06G%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G06J%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G06K%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G06M%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G06N%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G06T%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G10L%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G11C%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G16B%,10-Jul-19,Newly added
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G16C%,10-Jul-19,Newly added
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G16Z%,10-Jul-19,Newly added
7,Electrical engineering,Electrotechnique,Electricidad - Electronica,IT methods for management,Methodes de traitement des donnees a des fins de gestion,Metodos de gestion mediante T.I.,G06Q%,,
8,Electrical engineering,Electrotechnique,Electricidad - Electronica,Semiconductors,Semiconducteurs,Semiconductores,H01L%,,
9,Instruments,Instruments,Instrumentos,Optics,Optique,Optica,G02B%,,
9,Instruments,Instruments,Instrumentos,Optics,Optique,Optica,G02C%,,
9,Instruments,Instruments,Instrumentos,Optics,Optique,Optica,G02F%,,
9,Instruments,Instruments,Instrumentos,Optics,Optique,Optica,G03B%,,
9,Instruments,Instruments,Instrumentos,Optics,Optique,Optica,G03C%,,
9,Instruments,Instruments,Instrumentos,Optics,Optique,Optica,G03D%,,
9,Instruments,Instruments,Instrumentos,Optics,Optique,Optica,G03F%,,
9,Instruments,Instruments,Instrumentos,Optics,Optique,Optica,G03G%,,
9,Instruments,Instruments,Instrumentos,Optics,Optique,Optica,G03H%,,
9,Instruments,Instruments,Instrumentos,Optics,Optique,Optica,H01S%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01B%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01C%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01D%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01F%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01G%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01H%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01J%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01K%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01L%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01M%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01N   1%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01N   3%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01N   5%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01N   7%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01N   9%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01N  11%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01N  13%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01N  15%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01N  17%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01N  19%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01N  21%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01N  22%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01N  23%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01N  24%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01N  25%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01N  27%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01N  29%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01N  30%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01N  31%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01N  35%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01N  37%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01P%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01Q%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01R%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01S%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01V%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G01W%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G04B%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G04C%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G04D%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G04F%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G04G%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G04R%,1-Jan-13,Newly added
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G12B%,,
10,Instruments,Instruments,Instrumentos,Measurement,Techniques de mesure,Medida,G99Z%,,
11,Instruments,Instruments,Instrumentos,Analysis of biological materials,Analyse de materiels biologiques,Analisis de materiales biologicos,G01N  33%,,
12,Instruments,Instruments,Instrumentos,Control,Dispositifs de commande,Control,G05B%,,
12,Instruments,Instruments,Instrumentos,Control,Dispositifs de commande,Control,G05D%,,
12,Instruments,Instruments,Instrumentos,Control,Dispositifs de commande,Control,G05F%,,
12,Instruments,Instruments,Instrumentos,Control,Dispositifs de commande,Control,G07B%,,
12,Instruments,Instruments,Instrumentos,Control,Dispositifs de commande,Control,G07C%,,
12,Instruments,Instruments,Instrumentos,Control,Dispositifs de commande,Control,G07D%,,
12,Instruments,Instruments,Instrumentos,Control,Dispositifs de commande,Control,G07F%,,
12,Instruments,Instruments,Instrumentos,Control,Dispositifs de commande,Control,G07G%,,
12,Instruments,Instruments,Instrumentos,Control,Dispositifs de commande,Control,G08B%,,
12,Instruments,Instruments,Instrumentos,Control,Dispositifs de commande,Control,G08G%,,
12,Instruments,Instruments,Instrumentos,Control,Dispositifs de commande,Control,G09B%,,
12,Instruments,Instruments,Instrumentos,Control,Dispositifs de commande,Control,G09C%,,
12,Instruments,Instruments,Instrumentos,Control,Dispositifs de commande,Control,G09D%,,
13,Instruments,Instruments,Instrumentos,Medical technology,Technologie medicale,Tecnologia medica,A61B%,,
13,Instruments,Instruments,Instrumentos,Medical technology,Technologie medicale,Tecnologia medica,A61C%,,
13,Instruments,Instruments,Instrumentos,Medical technology,Technologie medicale,Tecnologia medica,A61D%,,
13,Instruments,Instruments,Instrumentos,Medical technology,Technologie medicale,Tecnologia medica,A61F%,,
13,Instruments,Instruments,Instrumentos,Medical technology,Technologie medicale,Tecnologia medica,A61G%,,
13,Instruments,Instruments,Instrumentos,Medical technology,Technologie medicale,Tecnologia medica,A61H%,,
13,Instruments,Instruments,Instrumentos,Medical technology,Technologie medicale,Tecnologia medica,A61J%,,
13,Instruments,Instruments,Instrumentos,Medical technology,Technologie medicale,Tecnologia medica,A61L%,,
13,Instruments,Instruments,Instrumentos,Medical technology,Technologie medicale,Tecnologia medica,A61M%,,
13,Instruments,Instruments,Instrumentos,Medical technology,Technologie medicale,Tecnologia medica,A61N%,,
13,Instruments,Instruments,Instrumentos,Medical technology,Technologie medicale,Tecnologia medica,G16H%,31-Jan-18,Newly added
13,Instruments,Instruments,Instrumentos,Medical technology,Technologie medicale,Tecnologia medica,H05G%,,
14,Chemistry,Chimie,Quimica,Organic fine chemistry,Chimie fine organique,Productos organicos elaborados,A61K   8%,,
14,Chemistry,Chimie,Quimica,Organic fine chemistry,Chimie fine organique,Productos organicos elaborados,A61Q%,,
14,Chemistry,Chimie,Quimica,Organic fine chemistry,Chimie fine organique,Productos organicos elaborados,C07B%,,
14,Chemistry,Chimie,Quimica,Organic fine chemistry,Chimie fine organique,Productos organicos elaborados,C07C%,,
14,Chemistry,Chimie,Quimica,Organic fine chemistry,Chimie fine organique,Productos organicos elaborados,C07D%,,
14,Chemistry,Chimie,Quimica,Organic fine chemistry,Chimie fine organique,Productos organicos elaborados,C07F%,,
14,Chemistry,Chimie,Quimica,Organic fine chemistry,Chimie fine organique,Productos organicos elaborados,C07H%,,
14,Chemistry,Chimie,Quimica,Organic fine chemistry,Chimie fine organique,Productos organicos elaborados,C07J%,,
14,Chemistry,Chimie,Quimica,Organic fine chemistry,Chimie fine organique,Productos organicos elaborados,C40B%,,
